]0;🐍Wi-Fi: off | code.py | 10.3.0\  1639.0 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1658.6 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  49.8°C |  0.00 bar [0.497 V]
  1658.9 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  51.0°C |  0.00 bar [0.493 V]
  1659.1 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.48 | PD:  0.02  | PI:  0.00 | Brew:  50.0°C |  0.00 bar [0.497 V]
  1659.5 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  51.2°C |  0.00 bar [0.495 V]
  1659.8 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  49.1°C |  0.01 bar [0.502 V]
  1660.1 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.498 V]
  1660.4 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  50.1°C |  0.00 bar [0.497 V]
  1660.7 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  48.8°C |  0.00 bar [0.497 V]
  1661.0 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  48.8°C |  0.00 bar [0.497 V]
  1661.3 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  49.2°C |  0.00 bar [0.498 V]
  1661.6 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  49.2°C |  0.00 bar [0.498 V]
  1661.8 s | Boiler:  59.3°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.7 °C |  PP: 16.40 | PD: -0.01  | PI:  0.00 | Brew:  48.6°C |  0.00 bar [0.498 V]
  1662.2 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  48.3°C |  0.00 bar [0.495 V]
  1662.5 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  51.7°C |  0.00 bar [0.498 V]
  1662.8 s | Boiler:  59.0°C [Set: 114.0°C ] | SSR: H1.00 | Err:  55.0 °C |  PP: 16.51 | PD:  0.02  | PI:  0.00 | Brew:  47.7°C |  0.00 bar [0.497 V]
  1663.1 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  51.0°C |  0.00 bar [0.497 V]
  1663.4 s | Boiler:  59.4°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.6 °C |  PP: 16.39 | PD: -0.01  | PI:  0.00 | Brew:  50.3°C |  0.00 bar [0.498 V]
  1663.7 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  48.7°C |  0.00 bar [0.500 V]
  1664.0 s | Boiler:  59.1°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.9 °C |  PP: 16.47 | PD:  0.01  | PI:  0.00 | Brew:  48.7°C |  0.00 bar [0.498 V]
  1664.3 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.44 | PD:  0.00  | PI:  0.00 | Brew:  47.9°C |  0.00 bar [0.500 V]
  1664.6 s | Boiler:  59.2°C [Set: 114.0°C ] | SSR: H1.00 | Err:  54.8 °C |  PP: 16.45 | PD:  0.01  | PI:  0.00 | Brew:  50.1°C |  0.00 bar [0.491 V]
